,"x",,"x"
"1","3IINFOTECH","III","3IINFOTECH"
"2","ABAN","ABAN","ABAN"
"3","ABB","ABB","ABB"
"4","ABGSHIP","ABGS","ABGSHIP"
"5","ABIRLANUVO","ABNL","ABIRLANUVO"
"6","ACC","ACC","ACC"
"7","ADANIENT","ADE","ADANIENT"
"8","ADANIPOWER","ADANI","ADANIPOWER"
"9","ALBK","ALBK","ALBK"
"10","ALOKTEXT","ALOK","ALOKTEXT"
"11","AMBUJACEM","ACEM","AMBUJACEM"
"12","ANDHRABANK","ANDB","ANDHRABANK"
"13","APIL","ABBAP","APIL"
"14","APOLLOTYRE","APTY","APOLLOTYRE"
"15","AREVAT&D","ATD","AREVATANDD"
"16","ASHOKLEY","ALBK","ASHOKLEY"
"17","ASIANPAINT","APNT","ASIANPAINT"
"18","AUROPHARMA","ARBP","AUROPHARMA"
"19","AXISBANK","AXSB","AXISBANK"
"20","BAJAJ-AUTO","BJAUT","BAJAJAUTO"
"21","BAJAJHIND","BJH","BAJAJHIND"
"22","BAJAJHLDNG","BJHI","BAJAJHLDNG"
"23","BALRAMCHIN","BRCM","BALRAMCHIN"
"24","BANKBARODA","BOB","BANKBARODA"
"25","BANKINDIA","BOI","BANKINDIA"
"26","BATAINDIA","BATA","BATAINDIA"
"27","BEL","BHE","BEL"
"28","BEML","BEML","BEML"
"29","BGRENERGY","BGRL","BGRENERGY"
"30","BHARATFORG","BHFC","BHARATFORG"
"31","BHARTIARTL","BHARTI","BHARTIARTL"
"32","BHEL","BHEL","BHEL"
"33","BHUSANSTL","BHUS","BHUSANSTL"
"34","BIOCON","BIOS","BIOCON"
"35","BOMDYEING","BD","BOMDYEING"
"36","BOSCHLTD","BOS","BOSCHLTD"
"37","BPCL","BPCL","BPCL"
"38","BRFL","BRFL","BRFL"
"39","CAIRN","CAIR","CAIRN"
"40","CANBK","CBK","CANBK"
"41","CENTRALBK","CBOI","CENTRALBK"
"42","CENTURYTEX","CENT","CENTURYTEX"
"43","CESC","CESC","CESC"
"44","CHAMBLFERT","CHMB","CHAMBLFERT"
"45","CHENNPETRO","MRL","CHENNPETRO"
"46","CIPLA","CIPLA","CIPLA"
"47","COLPAL","CLGT","COLPAL"
"48","CONCOR","CCRI","CONCOR"
"49","COREPROTEC","CPTL","COREPROTEC"
"50","CROMPGREAV","CRG","CROMPGREAV"
"51","CUMMINSIND","KKC","CUMMINSIND"
"52","DABUR","DABUR","DABUR"
"53","DCB","DCB","DCB"
"54","DCHL","DECH","DCHL"
"55","DENABANK","DBNK","DENABANK"
"56","DISHTV","DITV","DISHTV"
"57","DIVISLAB","DIVI","DIVISLAB"
"58","DLF","DLFU","DLF"
"59","DRREDDY","DRRD","DRREDDY"
"60","EDUCOMP","EDSL","EDUCOMP"
"61","EKC","EKCL","EKC"
"62","ESCORTS","ESC","ESCORTS"
"63","ESSAROIL","ESOIL","ESSAROIL"
"64","EXIDEIND","EXID","EXIDEIND"
"65","FEDERALBNK","FB","FEDERALBNK"
"66","FINANTECH","FTECH","FINANTECH"
"67","FORTIS","FORH","FORTIS"
"68","FSL","FSOL","FSL"
"69","GAIL","GAIL","GAIL"
"70","GESHIP","GESCO","GESHIP"
"71","GLAXO","GLXO","GLAXO"
"72","GMDCLTD","GMDC","GMDCLTD"
"73","GMRINFRA","GMRI","GMRINFRA"
"74","GODREJIND","GDSP","GODREJIND"
"75","GRASIM","GRASIM","GRASIM"
"76","GSPL","GUJS","GSPL"
"77","GTL","GTS","GTL"
"78","GTLINFRA","GTLI","GTLINFRA"
"79","GTOFFSHORE","GOFF","GTOFFSHORE"
"80","GVKPIL","GVKP","GVKPIL"
"81","HAVELLS","HAVL","HAVELLS"
"82","HCC","HCC","HCC"
"83","HCLTECH","HCLT","HCLTECH"
"84","HDFC","HDFC","HDFC"
"85","HDFCBANK","HDFCB","HDFCBANK"
"86","HDIL","HDIL","HDIL"
"87","HEROHONDA","HH","HEROHONDA"
"88","HEXAWARE","HEXW","HEXAWARE"
"89","HINDALCO","HNDL","HINDALCO"
"90","HINDOILEXP","HOE","HINDOILEXP"
"91","HINDPETRO","HPCL","HINDPETRO"
"92","HINDUNILVR","HUVR","HINDUNILVR"
"93","HINDZINC","HZ","HINDZINC"
"94","HOTELEELA","LELA","HOTELEELA"
"95","IBREALEST","IBREL","IBREALEST"
"96","ICICIBANK","ICICIBC","ICICIBANK"
"97","IDBI","IDBI","IDBI"
"98","IDEA","IDEA","IDEA"
"99","IDFC","IDFC","IDFC"
"100","IFCI","IFCI","IFCI"
"101","IGL","IGL","IGL"
"102","INDHOTEL","IH","INDHOTEL"
"103","INDIACEM","ICEM","INDIACEM"
"104","INDIAINFO","IIFL","INDIAINFO"
"105","INDIANB","INBK","INDIANB"
"106","INDUSINDBK","IIB","INDUSINDBK"
"107","INFOSYSTCH","INFO","INFOSYSTCH"
"108","IOB","IOB","IOB"
"109","IOC","IOCL","IOC"
"110","IRB","IRB","IRB"
"111","ISPATIND","NDEN","ISPATIND"
"112","ITC","ITC","ITC"
"113","IVRCLINFRA","IVRC","IVRCLINFRA"
"114","JETAIRWAYS","JETIN","JETAIRWAYS"
"115","JINDALSAW","JSAW","JINDALSAW"
"116","JINDALSTEL","JSP","JINDALSTEL"
"117","JINDALSWHL","SWH","JINDALSWHL"
"118","JISLJALEQS","JI","JISLJALEQS"
"119","JPASSOCIAT","JPA","JPASSOCIAT"
"120","JPPOWER","JHPL","JPPOWER"
"121","JSWSTEEL","JSTL","JSWSTEEL"
"122","KFA","KAIR","KFA"
"123","KOTAKBANK","KMB","KOTAKBANK"
"124","KSOILS","KSO","KSOILS"
"125","KTKBANK","KBL","KTKBANK"
"126","LICHSGFIN","LICHF","LICHSGFIN"
"127","LITL","LANCI","LITL"
"128","LT","LT","LT"
"129","LUPIN","LPC","LUPIN"
"130","M&M","MM","MANDM"
"131","MARUTI","MSIL","MARUTI"
"132","MAX","MAX","MAX"
"133","MCDOWELL-N","MACH","MCDOWELLN"
"134","MCLEODRUSS","MCLR","MCLEODRUSS"
"135","MLL","MRLN","MLL"
"136","MOSERBAER","MBI","MOSERBAER"
"137","MPHASIS","MPHL","MPHASIS"
"138","MRF","MRF","MRF"
"139","MRPL","MRPL","MRPL"
"140","MTNL","MTNL","MTNL"
"141","NAGARFERT","NFCL","NAGARFERT"
"142","NATIONALUM","NACL","NATIONALUM"
"143","NEYVELILIG","NLC","NEYVELILIG"
"144","NHPC","NHPC","NHPC"
"145","NMDC","NMDC","NMDC"
"146","NTPC","NTPC","NTPC"
"147","OFSS","OFSS","OFSS"
"148","OIL","OINL","OIL"
"149","ONGC","ONGC","ONGC"
"150","ONMOBILE","ONMB","ONMOBILE"
"151","OPTOCIRCUI","OPTC","OPTOCIRCUI"
"152","ORBITCORP","ORB","ORBITCORP"
"153","ORCHIDCHEM","OCP","ORCHIDCHEM"
"154","ORIENTBANK","OBC","ORIENTBANK"
"155","PANTALOONR","PF","PANTALOONR"
"156","PATELENG","PEC","PATELENG"
"157","PATNI","PEC","PATNI"
"158","PETRONET","PLNG","PETRONET"
"159","PFC","POWF","PFC"
"160","PIRHEALTH","PIHC","PIRHEALTH"
"161","PNB","PNB","PNB"
"162","POLARIS","POL","POLARIS"
"163","POWERGRID","PWGR","POWERGRID"
"164","PRAJIND","PRJ","PRAJIND"
"165","PTC","PTCIN","PTC"
"166","PUNJLLOYD","PUNJ","PUNJLLOYD"
"167","RANBAXY","RBXY","RANBAXY"
"168","RCOM","RCOM","RCOM"
"169","RECLTD","RECL","RECLTD"
"170","RELCAPITAL","RCAPT","RELCAPITAL"
"171","RELIANCE","RIL","RELIANCE"
"172","RELINFRA","RELI","RELINFRA"
"173","RELMEDIA","RMW","RELMEDIA"
"174","RENUKA","SHRS","RENUKA"
"175","ROLTA","RLTA","ROLTA"
"176","RPOWER","RPWR","RPOWER"
"177","RUCHISOYA","RSI","RUCHISOYA"
"178","SAIL","SAIL","SAIL"
"179","SBIN","SBIN","SBIN"
"180","SCI","SCI","SCI"
"181","SESAGOA","SESA","SESAGOA"
"182","SIEMENS","SIEM","SIEMENS"
"183","SINTEX","SINT","SINTEX"
"184","SKUMARSYNF","SKNL","SKUMARSYNF"
"185","SOBHA","SOBHA","SOBHA"
"186","SREINFRA","SREI","SREINFRA"
"187","SRTRANSFIN","SHTF","SRTRANSFIN"
"188","STER","STLT","STER"
"189","STRTECH","SOTL","STRTECH"
"190","SUNPHARMA","SUNP","SUNPHARMA"
"191","SUNTV","SUNTV","SUNTV"
"192","SUZLON","SUEL","SUZLON"
"193","SYNDIBANK","SNDB","SYNDIBANK"
"194","TATACHEM","TTCH","TATACHEM"
"195","TATACOMM","TCOM","TATACOMM"
"196","TATAGLOBAL","TGBL","TATAGLOBAL"
"197","TATAMOTORS","TTMT","TATAMOTORS"
